resource_id,name,agency,description,contact,n_downloads,category,percent_datatypes,percent_descriptions
vx8i-nprf,Civil Service List (Active),Department of Citywide Administrative Services (DCAS),"A Civil Service List consists of all candidates who passed an exam, ranked in score order. An established list is considered active for no less than one year and no more than four years from the date of establishment. For more information visit DCAS’ “Work for the City” webpage at: https://www1.nyc.gov/site/dcas/employment/take-an-exam.page",,51006,City Government,1.0,1.0
ic3t-wcy2,DOB Job Application Filings,Department of Buildings (DOB),"This dataset contains all job applications submitted through the Borough Offices, through eFiling, or through the HUB, which have a ""Latest Action Date"" since January 1, 2000. This dataset does not include jobs submitted through DOB NOW. See the DOB NOW: Build – Job Application Filings dataset for DOB NOW jobs.",,37213,Housing & Development,1.0,1.0
dpec-ucu7,TLC New Driver Application Status,Taxi and Limousine Commission (TLC),"THIS DATASET IS UPDATED SEVERAL TIMES PER DAY. TLC Driver application status check for applicants who had applied for a new TLC driver’s license. For more information and to upload missing requirements, visit www.nyc.gov/tlcup

For historical/archived data of past application statuses, please see- https://data.cityofnewyork.us/Transportation/Historical-Driver-Application-Status/p32s-yqxq",,35485,Transportation,1.0,1.0
8wbx-tsch,For Hire Vehicles (FHV) - Active,Taxi and Limousine Commission (TLC),"PLEASE NOTE: This dataset, which includes all TLC licensed for-hire vehicles which are in good standing and able to drive, is updated every day in the evening between 4-7pm. Please check the 'Last Update Date' field to make sure the list has updated successfully. 'Last Update Date'  should show either today or yesterday's date, depending on the time of day. If the list is outdated, please download the most recent list from the link below. 
http://www1.nyc.gov/assets/tlc/downloads/datasets/tlc_for_hire_vehicle_active_and_inactive.csv

TLC authorized For-Hire vehicles that are active. This list is accurate to the date and time represented in the Last Date Updated and Last Time Updated fields. For inquiries about the contents of this dataset, please email licensinginquiries@tlc.nyc.gov.",,256759,Transportation,1.0,1.0
xjfq-wh2d,For Hire Vehicles (FHV) - Active Drivers,Taxi and Limousine Commission (TLC),"PLEASE NOTE: This dataset, which includes all TLC licensed for-hire drivers which are in good standing and able to drive, is updated every day in the evening between 4-7pm. Please check the 'Last Update Date' field to make sure the list has updated successfully. 'Last Update Date'  should show either today or yesterday's date, depending on the time of day. If the list is outdated, please download the most recent list from the link below. 
http://www1.nyc.gov/assets/tlc/downloads/datasets/tlc_for_hire_vehicle_drivers_active.csv

NYC TLC Licensed FHV drivers that are currently active and in good standing. This list is accurate to the date and time represented in the Last Date Updated and Last Time Updated fields. For inquiries about the contents of this dataset, please email licensinginquiries@tlc.nyc.gov.",,224307,Transportation,1.0,1.0
a9md-ynri,Civil Service List Certification,Department of Citywide Administrative Services (DCAS),"A List Certification includes the names of eligible candidates on an Active Civil Service List that has been established.  The Certification may contain part of a list, the whole list, or multiple lists at the request of an appointing agency, to fill vacancies and/or replace provisionals.  Eligible candidates on a Certification may be considered for probable appointment at the appointing Agency.  For more information visit DCAS’ “Work for the City” webpage at: https://www1.nyc.gov/site/dcas/employment/take-an-exam.page",,15871,City Government,1.0,1.0
erm2-nwe9,311 Service Requests from 2010 to Present,311,"Please note: Due to pandemic call handling modifications, the ‘Open Data Channel Type’ values may not accurately indicate the channel the Service Request was submitted in for the period starting March 2020.

All 311 Service Requests from 2010 to present. This information is automatically updated daily.
",,398678,Social Services,1.0,0.82
ipu4-2q9a,DOB Permit Issuance,Department of Buildings (DOB),"The Department of Buildings (DOB) issues permits for construction and demolition activities in the City of New York. The construction industry must submit an application to DOB with details of the construction job they would like to complete. The primary types of application, aka job type, are: New Building, Demolition, and Alterations Type 1, 2, and 3. Each job type can have multiple work types, such as general construction, boiler, elevator, and plumbing. Each work type will receive a separate permit. (See the DOB Job Application Filings dataset for information about each job application.) Each row/record in this dataset represents the life cycle of one permit for one work type. The dataset is updated daily with new records, and each existing record will be updated as the permit application moves through the approval process to reflect the latest status of the application.",,67051,Housing & Development,1.0,0.9
h9gi-nx95,Motor Vehicle Collisions - Crashes,Police Department (NYPD),"The Motor Vehicle Collisions crash table contains details on the crash event. Each row represents a crash event. The Motor Vehicle Collisions data tables contain information from all police reported motor vehicle collisions in NYC. The police report (MV104-AN) is required to be filled out for collisions where someone is injured or killed, or where there is at least $1000 worth of damage (https://www.nhtsa.gov/sites/nhtsa.dot.gov/files/documents/ny_overlay_mv-104an_rev05_2004.pdf).  It should be noted that the data is preliminary and subject to change when the MV-104AN forms are amended based on revised crash details.For the most accurate, up to date statistics on traffic fatalities, please refer to the NYPD Motor Vehicle Collisions page (updated weekly) or Vision Zero View (updated monthly).


Due to success of the CompStat program, NYPD began to ask how to apply the CompStat principles  to other problems.  Other than homicides, the fatal incidents with which police have the most contact with the public are fatal traffic collisions.  Therefore in April 1998, the Department implemented TrafficStat, which uses the CompStat model to work towards improving traffic safety.  Police officers complete form MV-104AN  for all vehicle collisions.  The MV-104AN is a New York State form that has all of the details of a traffic collision.  Before implementing Trafficstat, there was no uniform traffic safety data collection procedure for all of the NYPD precincts.  Therefore, the Police Department implemented the Traffic Accident Management System (TAMS) in July 1999 in order to collect traffic data in a uniform method across the City.  TAMS required the precincts manually enter a few selected MV-104AN fields to collect very basic intersection traffic crash statistics which included the number of accidents, injuries and fatalities. As the years progressed, there grew a need for additional traffic data so that more detailed analyses could be conducted. The Citywide traffic safety initiative, Vision Zero started in the year 2014.  Vision Zero further emphasized the need for the collection of more traffic data in order to work towards the Vision Zero goal, which is to eliminate traffic fatalities.  Therefore, the Department in March 2016 replaced the TAMS with the new Finest Online Records Management System (FORMS).  FORMS enables the police officers to electronically, using a Department cellphone or computer, enter all of the MV-104AN data fields and stores all of the MV-104AN data fields in the Department’s crime data warehouse.  Since all of the MV-104AN data fields are now stored for each traffic collision, detailed traffic safety analyses can be conducted as applicable.",,71400,Public Safety,1.0,0.8787878787878788
jb3k-j3gp,Medallion Drivers - Active,Taxi and Limousine Commission (TLC),"PLEASE NOTE: This dataset, which includes all TLC Licensed Drivers who are in good standing and able to drive, is updated every day in the evening between 4-7pm. Please check the 'Last Update Date' field to make sure the list has updated successfully. 'Last Update Date'  should show either today or yesterday's date, depending on the time of day. If the list is outdated, please download the most recent list from the link below. 
http://www1.nyc.gov/assets/tlc/downloads/datasets/tlc_medallion_drivers_active.csv

This is a list of drivers with a current TLC Driver License, which authorizes drivers to operate NYC TLC licensed yellow and green taxicabs and for-hire vehicles (FHVs). This list is accurate as of the date and time shown in the Last Date Updated and Last Time Updated fields. Questions about the contents of this dataset can be sent by email to: licensinginquiries@tlc.nyc.gov.",,288920,Transportation,1.0,1.0
k397-673e,Citywide Payroll Data (Fiscal Year),Office of Payroll Administration (OPA),"Data is collected because of public interest in how the City’s budget is being spent on salary and overtime pay for all municipal employees. Data is input into the City's Personnel Management System (“PMS”) by the respective user Agencies. Each record represents the following statistics for every city employee: Agency, Last Name, First Name, Middle Initial, Agency Start Date, Work Location Borough, Job Title Description, Leave Status as of the close of the FY (June 30th), Base Salary, Pay Basis, Regular Hours Paid, Regular Gross Paid, Overtime Hours worked, Total Overtime Paid, and Total Other Compensation (i.e. lump sum and/or retro payments). This data can be used to analyze how the City's financial resources are allocated and how much of the City's budget is being devoted to overtime. The reader of this data should be aware that increments of salary increases received over the course of any one fiscal year will not be reflected. All that is captured, is the employee's final base and gross salary at the end of the fiscal year.  In very limited cases, a check replacement and subsequent refund may reflect both the original check as well as the re-issued check in employee pay totals.  


NOTE 1: To further improve the visibility into the number of employee OT hours worked, beginning with the FY 2023 report, an updated methodology will be used which will eliminate redundant reporting of OT hours in some specific instances.  In the previous calculation, hours associated with both overtime pay as well as an accompanying overtime “companion code” pay were included in the employee total even though they represented pay for the same period of time.  With the updated methodology, the dollars shown on the Open Data site will continue to be inclusive of both types of overtime, but the OT hours will now reflect a singular block of time, which will result in a more representative total of employee OT hours worked.   The updated methodology will primarily impact the OT hours associated with City employees in uniformed civil service titles.  The updated methodology will be applied to the Open Data posting for Fiscal Year 2023 and cannot be applied to prior postings and, as a result, the reader of this data should not compare OT hours  prior to the 2023 report against OT hours published starting Fiscal Year 2023.  The reader of this data may continue to compare OT dollars across all published Fiscal Years on Open Data. 

NOTE 2: As a part of FISA-OPA’s routine process for reviewing and releasing Citywide Payroll Data, data for some agencies (specifically NYC Police Department (NYPD) and the District Attorneys’ Offices (Manhattan, Kings, Queens, Richmond, Bronx, and Special Narcotics)) have been redacted since they are exempt from disclosure pursuant to the Freedom of Information Law, POL § 87(2)(f), on the ground that disclosure of the information could endanger the life and safety of the public servants listed thereon. They are further exempt from disclosure pursuant to POL § 87(2)(e)(iii), on the ground that any release of the information would identify confidential sources or disclose confidential information relating to a criminal investigation, and POL § 87(2)(e)(iv), on the ground that disclosure would reveal non-routine criminal investigative techniques or procedures. Some of these redactions will appear as XXX in the name columns.",,13500,City Government,1.0,1.0
5tub-eh45,Street Hail Livery (SHL) Drivers - Active,Taxi and Limousine Commission (TLC),"PLEASE NOTE: This dataset, which includes all TLC Licensed Drivers who are in good standing and able to drive, is updated every day in the evening between 4-7pm. Please check the 'Last Update Date' field to make sure the list has updated successfully. 'Last Update Date'  should show either today or yesterday's date, depending on the time of day. If the list is outdated, please download the most recent list from the link below. 
http://www1.nyc.gov/assets/tlc/downloads/datasets/tlc_shl_drivers_active.csv

NYC TLC licensed drivers that are currently active, in good standing and authorized to operate Street Hail Livery (SHL) vehicles. This list is accurate to the date and time represented in the Last Date Updated and Last Time Updated fields. For inquiries about the contents of this dataset, please email licensinginquiries@tlc.nyc.gov.",,15835,Transportation,1.0,1.0
jb7j-dtam,New York City Leading Causes of Death,Department of Health and Mental Hygiene (DOHMH),"The leading causes of death by sex and ethnicity in New York City in since 2007. Cause of death is derived from the NYC death certificate which is issued for every death that occurs in New York City.


Report last ran: 09/24/2019
Rates based on small numbers (RSE > 30) as well as aggregate counts less than 5 have been suppressed in downloaded data
Source: Bureau of Vital Statistics and  New York City Department of Health and Mental Hygiene",,40275,Health,1.0,1.0
tg4x-b46p,Film Permits,Mayor's Office of Media And Entertainment (MOME),"Permits are generally required when asserting the exclusive use of city property, like a sidewalk, a street, or a park. See http://www1.nyc.gov/site/mome/permits/when-permit-required.page",,10774,City Government,1.0,0.9285714285714286
qgea-i56i,NYPD Complaint Data Historic,Police Department (NYPD),"This dataset includes all valid felony, misdemeanor, and violation crimes reported to the New York City Police Department (NYPD) from 2006 to the end of last year (2019). For additional details, please see the attached data dictionary in the ‘About’ section.",,25466,Public Safety,1.0,0.7954545454545454
rhe8-mgbb,Medallion  Vehicles - Authorized,Taxi and Limousine Commission (TLC),"PLEASE NOTE: This dataset, which includes all TLC licensed medallion vehicles which are in good standing and able to drive, is updated every day in the evening between 4-7pm. Please check the 'Last Update Date' field to make sure the list has updated successfully. 'Last Update Date'  should show either today or yesterday's date, depending on the time of day. If the list is outdated, please download the most recent list from the link below. 
http://www1.nyc.gov/assets/tlc/downloads/datasets/tlc_medallion_vehicles_authorized.csv


This list contains information on the status of current medallion vehicles authorized to operate in New York City. This list is accurate to the date and time represented in the Last Date Updated and Last Time Updated fields. For inquiries about the contents of this dataset, please email licensinginquiries@tlc.nyc.gov.

For a historical data up to and including 2016, please refer to https://data.cityofnewyork.us/Transportation/Historical-Medallion-Vehicles-Authorized/pvkv-25ck/",,114667,Transportation,1.0,1.0
uip8-fykc,NYPD Arrest Data (Year to Date),Police Department (NYPD),"This is a breakdown of every arrest effected in NYC by the NYPD during the current year.
 This data is manually extracted every quarter and reviewed by the Office of Management Analysis and Planning. 
 Each record represents an arrest effected in NYC by the NYPD and includes information about the type of crime, the location and time of enforcement. 
In addition, information related to suspect demographics is also included. 
This data can be used by the public to explore the nature of police enforcement activity. 
Please refer to the attached data footnotes for additional information about this dataset.",,13585,Public Safety,1.0,0.75
dg92-zbpx,City Record Online,Department of Citywide Administrative Services (DCAS),"The City Record Online (CROL) is now a fully searchable database of notices published in the City Record newspaper which includes but is not limited to: public hearings and meetings, public auctions and sales, solicitations and awards and official rules proposed and adopted by city agencies.",,20574,City Government,1.0,1.0
vfnx-vebw,2018 Central Park Squirrel Census - Squirrel Data,Other,"The Squirrel Census (https://www.thesquirrelcensus.com/) is a multimedia science, design, and storytelling project focusing on the Eastern gray (Sciurus carolinensis). They count squirrels and present their findings to the public. This table contains squirrel data for each of the 3,023 sightings, including location coordinates, age, primary and secondary fur color, elevation, activities, communications, and interactions between squirrels and with humans.",,57481,Environment,1.0,0.8333333333333334
rbx6-tga4,DOB NOW: Build – Approved Permits,Department of Buildings (DOB),List of all approved permits in DOB NOW,,24779,Housing & Development,1.0,0.0
8586-3zfm,Active Projects Under Construction,School Construction Authority (SCA),New school projects (Capacity) and Capital Improvement Projects (CIP) currently under Construction.,,4800,Housing & Development,1.0,0.4
rc75-m7u3,"COVID-19 Daily Counts of Cases, Hospitalizations, and Deaths",Department of Health and Mental Hygiene (DOHMH),"Daily count of NYC residents who tested positive for SARS-CoV-2, who were hospitalized with COVID-19, and deaths among COVID-19 patients.

Note that this dataset currently pulls from https://raw.githubusercontent.com/nychealth/coronavirus-data/master/trends/data-by-day.csv on a daily basis.",,20568,Health,1.0,0.05970149253731343
nc67-uf89,Open Parking and Camera Violations,Department of Finance (DOF),"The Open Parking and Camera Violations dataset was initially loaded with all violations contained in the mainframe database as of May 2016. Subsequent new violation issuance and updates to existing violations are applied to this data set on the following schedule:

	New or open violations will be updated weekly (Sunday).
Violations satisfied by having been paid, dismissed via hearing, statutorily expired, or had other changes to its status, will be updated daily (Tuesday through Sunday).
Violations that have been written-off because they have statutorily expired and are no longer valid are indicated with blank financials.
Summons images will not be available during scheduled downtime on Sundays from 5:00 am to 10:00 am.

* Initial dataset loaded 05/14/2016.",,26043,City Government,1.0,0.0
kpav-sd4t,NYC Jobs,Department of Citywide Administrative Services (DCAS),This dataset contains current job postings available on the  City of New York’s official jobs site (http://www.nyc.gov/html/careers/html/search/search.shtml).  Internal postings available to city employees and external postings available to the general public are included.,,151226,City Government,1.0,0.8666666666666667
43nn-pn8j,DOHMH New York City Restaurant Inspection Results,Department of Health and Mental Hygiene (DOHMH),"The dataset contains every sustained or not yet adjudicated violation citation from every full or special program inspection conducted up to three years prior to the most recent inspection for restaurants and college cafeterias in an active status on the RECORD DATE (date of the data pull). When an inspection results in more than one violation, values for associated fields are repeated for each additional violation record.  Establishments are uniquely identified by their CAMIS (record ID) number. Keep in mind that thousands of restaurants start business and go out of business every year; only restaurants in an active status are included in the dataset. 
Records are also included for each restaurant that has applied for a permit but has not yet been inspected and for inspections resulting in no violations. Establishments with inspection date of 1/1/1900 are new establishments that have not yet received an inspection. Restaurants that received no violations are represented by a single row and coded as having no violations using the ACTION field. 
Because this dataset is compiled from several large administrative data systems, it contains some illogical values that could be a result of data entry or transfer errors. Data may also be missing. 
This dataset and the information on the Health Department’s Restaurant Grading website come from the same data source.  The Health Department’s Restaurant Grading website is here: 
http://www1.nyc.gov/site/doh/services/restaurant-grades.page
See the data dictionary file in the Attachments section of the OpenData website for a summary of data fields and allowable values.",,47735,Health,1.0,0.71875
nzjr-3966,NYC Civil Service Titles,Department of Citywide Administrative Services (DCAS),List of Civil Service title codes and title descriptions used by City of New York agencies,,17313,City Government,1.0,1.0
5uac-w243,NYPD Complaint Data Current (Year To Date),Police Department (NYPD),"This dataset includes all valid felony, misdemeanor, and violation crimes reported to the New York City Police Department (NYPD) for all complete quarters so far this year (2019). For additional details, please see the attached data dictionary in the ‘About’ section.",,18284,Public Safety,1.0,0.7555555555555555
yhuu-4pt3,Street Hail Livery (SHL) Permits,Taxi and Limousine Commission (TLC),"Please Note: This dataset, which includes all TLC authorized Street Hail Livery Permits, is updated every day in the evening between 4-7pm. Please check the 'Last Update Date' field to make sure the list has updated successfully. 'Last Update Date' should show either today or yesterday's date, depending on the time of day. If the list is outdated, please download the list from the most recent link below. http://www1.nyc.gov/assets/tlc/downloads/datasets/tlc_street_hail_livery_permits.csv

This is a list of NYC TLC authorized Street Hail Livery Permits. This list is accurate to the date and time represented in the Last Date Updated and Last Time Updated fields. For inquiries about the contents of this dataset, please email licensinginquiries@tlc.nyc.gov.  Reason Code: G – Good Standing, A – Problem with Permit, B – Problem with Base and C – Problem with Vehicle.",,19257,Transportation,1.0,1.0
8h9b-rp9u,NYPD Arrests Data (Historic),Police Department (NYPD),"List of every arrest in NYC going back to 2006 through the end of the previous calendar year. This is a breakdown of every arrest effected in NYC by the NYPD going back to 2006 through the end of the previous calendar year. This data is manually extracted every quarter and reviewed by the Office of Management Analysis and Planning before being posted on the NYPD website. Each record represents an arrest effected in NYC by the NYPD and includes information about the type of crime, the location and time of enforcement. 
In addition, information related to suspect demographics is also included. 
This data can be used by the public to explore the nature of police enforcement activity. 
Please refer to the attached data footnotes for additional information about this dataset.",,16506,Public Safety,1.0,0.7916666666666666
jz4z-kudi,OATH Hearings Division Case Status,Office of Administrative Trials and Hearings (OATH),"IMPORTANT NOTICE: Searches using the search bar at the top of the dataset are currently not working and producing an error message. To search this data set, use the blue “Filter” function until this issue is resolved. 

The OATH Hearings Division Case Status dataset contains information about alleged public safety and quality of life violations that are filed and adjudicated through the City’s administrative law court, the NYC Office of Administrative Trials and Hearings (OATH) and provides information about the infraction charged, decision outcome, payments, amounts and fees relating to the case. The summonses listed in this dataset are issued and filed at the OATH Hearings Division by City enforcement agencies.",,21355,City Government,1.0,0.0
ye3c-m4ga,Civil List,Department of Citywide Administrative Services (DCAS),"The Civil List reports the agency code (DPT), first initial and last name (NAME), agency name (ADDRESS), title code (TTL #), pay class (PC), and salary (SAL-RATE) of individuals who were employed by the City of New York at any given time during the indicated year.",,6459,City Government,1.0,1.0
eabe-havv,DOB Complaints Received,Department of Buildings (DOB),"This is the universe of complaints received by Department of Buildings (DOB). It includes complaints that come from 311 or that are entered into the system by DOB staff.

A Complaint Categories codes can be found at
http://www1.nyc.gov/assets/buildings/pdf/bis_complaint_disposition_codes.pdf",,37099,Housing & Development,1.0,1.0
f9bf-2cp4,2012 SAT Results,Department of Education (DOE),The most recent school level results for New York City on the SAT. Results are available at the school level for the graduating seniors of 2012. Records contain 2012 College-bound seniors mean SAT scores taken during SY 2012.,,56986,Education,1.0,0.0
pvqr-7yc4,Parking Violations Issued - Fiscal Year 2023,Department of Finance (DOF),"Parking Violations Issuance datasets contain violations issued during the respective fiscal year.  The Issuance datasets are not updated to reflect violation status, the information only represents the violation(s) at the time they are issued. Since appearing on an issuance dataset, a violation may have been paid, dismissed via a hearing, statutorily expired, or had other changes to its status. To see the current status of outstanding parking violations, please look at the Open Parking & Camera Violations dataset.

• Parking Violations Issued Fiscal Year 2022 can be found here
• Parking Violations Issued Fiscal Year 2021 can be found here
• Parking Violations Issued Fiscal Year 2020 can be found here
• Parking Violations Issued Fiscal Year 2019 can be found here
• Parking Violations Issued Fiscal Year 2018 can be found here
• Parking Violations Issued Fiscal Year 2017 can be found here
• Parking Violations Issued Fiscal Year 2016 can be found here
• Parking Violations Issued Fiscal Year 2015 can be found here
• Parking Violations Issued Fiscal Year 2014 can be found here",,8719,City Government,1.0,0.023255813953488372
kku6-nxdu,Demographic Statistics By Zip Code,Department of Youth and Community Development (DYCD),Demographic statistics broken down by zip code,,1017553,City Government,1.0,0.0
hc8x-tcnd,FDNY Firehouse Listing,Fire Department of New York City (FDNY),Location of Firehouses and companies,,20406,Public Safety,1.0,0.0
